Date,Open,High,Low,Close,Adj Close,Volume
2018-10-25,217.710007,221.380005,216.750000,219.800003,216.441330,29855800
2018-10-26,215.899994,220.190002,212.669998,216.300003,212.994797,47258400
2018-10-29,219.190002,219.690002,206.089996,212.240005,208.996857,45935500
2018-10-30,211.149994,215.179993,209.270004,213.300003,210.040649,36660000
2018-10-31,216.880005,220.449997,216.619995,218.860001,215.515686,38358900
2018-11-01,219.050003,222.360001,216.809998,222.220001,218.824341,58323200
2018-11-02,209.550003,213.649994,205.429993,207.479996,204.309570,91328700
2018-11-05,204.300003,204.389999,198.169998,201.589996,198.509583,66163700
2018-11-06,201.919998,204.720001,201.690002,203.770004,200.656265,31882900
2018-11-07,205.970001,210.059998,204.130005,209.949997,206.741821,33424400
2018-11-08,209.979996,210.119995,206.750000,208.490005,206.020493,25362600
2018-11-09,205.550003,206.009995,202.250000,204.470001,202.048096,34365800
2018-11-12,199.000000,199.850006,193.789993,194.169998,191.870087,51135500
2018-11-13,191.630005,197.179993,191.449997,192.229996,189.953079,46882900
2018-11-14,193.899994,194.479996,185.929993,186.800003,184.587402,60801000
2018-11-15,188.389999,191.970001,186.899994,191.410004,189.142792,46478800
2018-11-16,190.500000,194.970001,189.460007,193.529999,191.237686,36928300
2018-11-19,190.000000,190.699997,184.990005,185.860001,183.658539,41925300
2018-11-20,178.369995,181.470001,175.509995,176.979996,174.883713,67825200
2018-11-21,179.729996,180.270004,176.550003,176.779999,174.686081,31124200
2018-11-23,174.940002,176.600006,172.100006,172.289993,170.249252,23624000
2018-11-26,174.240005,174.949997,170.259995,174.619995,172.551666,44998500
2018-11-27,171.509995,174.770004,170.880005,174.240005,172.176163,41387400
2018-11-28,176.729996,181.289993,174.929993,180.940002,178.796799,46062500
2018-11-29,182.660004,182.800003,177.699997,179.550003,177.423264,41770000
2018-11-30,180.289993,180.330002,177.029999,178.580002,176.464767,39531500
2018-12-03,184.460007,184.940002,181.210007,184.820007,182.630859,40802500
2018-12-04,180.949997,182.389999,176.270004,176.690002,174.597153,41344300
2018-12-06,171.759995,174.779999,170.419998,174.720001,172.650482,43098400
2018-12-07,173.490005,174.490005,168.300003,168.490005,166.494278,42281600
2018-12-10,165.000000,170.089996,163.330002,169.600006,167.591125,62026000
2018-12-11,171.660004,171.789993,167.000000,168.630005,166.632614,47281700
2018-12-12,170.399994,171.919998,169.020004,169.100006,167.097046,35627700
2018-12-13,170.490005,172.570007,169.550003,170.949997,168.925125,31898600
2018-12-14,169.000000,169.080002,165.279999,165.479996,163.519913,40703700
2018-12-17,165.449997,168.350006,162.729996,163.940002,161.998169,44287900
2018-12-18,165.380005,167.529999,164.389999,166.070007,164.102936,33841500
2018-12-19,166.000000,167.449997,159.089996,160.889999,158.984299,49047300
2018-12-20,160.399994,162.110001,155.300003,156.830002,154.972397,64773000
2018-12-21,156.860001,158.160004,149.630005,150.729996,148.944626,95744600
2018-12-24,148.149994,151.550003,146.589996,146.830002,145.090836,37169200
2018-12-26,148.300003,157.229996,146.720001,157.169998,155.308350,58582500
2018-12-27,155.839996,156.770004,150.070007,156.149994,154.300446,53117100
2018-12-28,157.500000,158.520004,154.550003,156.229996,154.379486,42291400
2018-12-31,158.529999,159.360001,156.479996,157.740005,155.871613,35003500
2019-01-02,154.889999,158.850006,154.229996,157.919998,156.049484,37039700
2019-01-03,143.979996,145.720001,142.000000,142.190002,140.505798,91312200
2019-01-04,144.529999,148.550003,143.800003,148.259995,146.503891,58607100
2019-01-07,148.699997,148.830002,145.899994,147.929993,146.177811,54777800
2019-01-08,149.559998,151.820007,148.520004,150.750000,148.964386,41025300
2019-01-09,151.289993,154.529999,149.630005,153.309998,151.494064,45099100
2019-01-10,152.500000,153.970001,150.860001,153.800003,151.978271,35780700
2019-01-11,152.880005,153.699997,151.509995,152.289993,150.486160,27023200
2019-01-14,150.850006,151.270004,149.220001,150.000000,148.223282,32439200
2019-01-15,150.270004,153.389999,150.050003,153.070007,151.256927,28710900
2019-01-16,153.080002,155.880005,153.000000,154.940002,153.104782,30569700
2019-01-17,154.199997,157.660004,153.259995,155.860001,154.013885,29821200
2019-01-18,157.500000,157.880005,155.979996,156.820007,154.962494,33751000
2019-01-22,156.410004,156.729996,152.619995,153.300003,151.484207,30394000
2019-01-23,154.149994,155.139999,151.699997,153.919998,152.096848,23130600
2019-01-24,154.110001,154.479996,151.740005,152.699997,150.891296,25441500
2019-01-25,155.479996,158.130005,154.320007,157.759995,155.891357,33535500
2019-01-28,155.789993,156.330002,153.660004,156.300003,154.448654,26192100
2019-01-29,156.250000,158.130005,154.110001,154.679993,152.847839,41587200
2019-01-30,163.250000,166.149994,160.229996,165.250000,163.292648,61109800
2019-01-31,166.110001,169.000000,164.559998,166.440002,164.468567,40739600
2019-02-01,166.960007,168.979996,165.929993,166.520004,164.547607,32668100
2019-02-04,167.410004,171.660004,167.279999,171.250000,169.221588,31495500
2019-02-05,172.860001,175.080002,172.350006,174.179993,172.116867,36101600
2019-02-06,174.649994,175.570007,172.850006,174.240005,172.176163,28239600
2019-02-07,172.399994,173.940002,170.339996,170.940002,168.915268,31741700
2019-02-08,168.990005,170.660004,168.419998,170.410004,169.113724,23820000
2019-02-11,171.050003,171.210007,169.250000,169.429993,168.141174,20993400
2019-02-12,170.100006,171.000000,169.699997,170.889999,169.590073,22283500
2019-02-13,171.389999,172.479996,169.919998,170.179993,168.885468,22490200
2019-02-14,169.710007,171.259995,169.380005,170.800003,169.500778,21835700
2019-02-15,171.250000,171.699997,169.750000,170.419998,169.123657,24626800
2019-02-19,169.710007,171.440002,169.490005,170.929993,169.629761,18972800
2019-02-20,171.190002,173.320007,170.990005,172.029999,170.721405,26114400
2019-02-21,171.800003,172.369995,170.300003,171.059998,169.758789,17249700
2019-02-22,171.580002,173.000000,171.380005,172.970001,171.654251,18913200
2019-02-25,174.160004,175.869995,173.949997,174.229996,172.904678,21873400
2019-02-26,173.710007,175.300003,173.169998,174.330002,173.003922,17070200
2019-02-27,173.210007,175.000000,172.729996,174.869995,173.539795,27835400
2019-02-28,174.320007,174.910004,172.919998,173.149994,171.832886,28215400
2019-03-01,174.279999,175.149994,172.889999,174.970001,173.639038,25886200
2019-03-04,175.690002,177.750000,173.970001,175.850006,174.512360,27436200
2019-03-05,175.940002,176.000000,174.539993,175.529999,174.194778,19737400
2019-03-06,174.669998,175.490005,173.940002,174.520004,173.192474,20810400
2019-03-07,173.869995,174.440002,172.020004,172.500000,171.187836,24796400
2019-03-08,170.320007,173.070007,169.500000,172.910004,171.594711,23999400
2019-03-11,175.490005,179.119995,175.350006,178.899994,177.539139,32011000
