Date,Open,High,Low,Close,Adj Close
1980-12-12,0.513393,0.515625,0.513393,0.513393,0.405683
1980-12-15,0.488839,0.488839,0.486607,0.486607,0.384517
1980-12-16,0.453125,0.453125,0.450893,0.450893,0.356296
1980-12-17,0.462054,0.464286,0.462054,0.462054,0.365115
1980-12-18,0.475446,0.477679,0.475446,0.475446,0.375698
1980-12-19,0.504464,0.506696,0.504464,0.504464,0.398628
1980-12-22,0.529018,0.53125,0.529018,0.529018,0.41803
1980-12-23,0.551339,0.553571,0.551339,0.551339,0.435669
1980-12-24,0.580357,0.582589,0.580357,0.580357,0.458599
1980-12-26,0.633929,0.636161,0.633929,0.633929,0.500931
1980-12-29,0.642857,0.645089,0.642857,0.642857,0.507986
1980-12-30,0.629464,0.629464,0.627232,0.627232,0.495639
1980-12-31,0.611607,0.611607,0.609375,0.609375,0.481528
1981-01-02,0.616071,0.620536,0.616071,0.616071,0.48682
1981-01-05,0.604911,0.604911,0.602679,0.602679,0.476237
1981-01-06,0.578125,0.578125,0.575893,0.575893,0.455071
1981-01-07,0.553571,0.553571,0.551339,0.551339,0.435669
1981-01-08,0.542411,0.542411,0.540179,0.540179,0.426849
1981-01-09,0.569196,0.571429,0.569196,0.569196,0.449779
1981-01-12,0.569196,0.569196,0.564732,0.564732,0.446252
1981-01-13,0.546875,0.546875,0.544643,0.544643,0.430377
1981-01-14,0.546875,0.549107,0.546875,0.546875,0.432141
1981-01-15,0.558036,0.5625,0.558036,0.558036,0.44096
1981-01-16,0.555804,0.555804,0.553571,0.553571,0.437432
1981-01-19,0.587054,0.589286,0.587054,0.587054,0.46389
1981-01-20,0.571429,0.571429,0.569196,0.569196,0.449779
1981-01-21,0.580357,0.584821,0.580357,0.580357,0.458599
1981-01-22,0.587054,0.591518,0.587054,0.587054,0.46389
1981-01-23,0.587054,0.589286,0.584821,0.584821,0.462126
1981-01-26,0.578125,0.578125,0.575893,0.575893,0.455071
1981-01-27,0.575893,0.575893,0.571429,0.571429,0.451543
1981-01-28,0.555804,0.555804,0.553571,0.553571,0.437432
1981-01-29,0.535714,0.535714,0.533482,0.533482,0.421558
1981-01-30,0.508929,0.508929,0.504464,0.504464,0.398628
1981-02-02,0.477679,0.477679,0.475446,0.475446,0.375698
1981-02-03,0.493304,0.495536,0.493304,0.493304,0.389809
1981-02-04,0.511161,0.513393,0.511161,0.511161,0.40392
1981-02-05,0.511161,0.515625,0.511161,0.511161,0.40392
1981-02-06,0.513393,0.515625,0.513393,0.513393,0.405683
1981-02-09,0.491071,0.491071,0.486607,0.486607,0.384517
1981-02-10,0.486607,0.488839,0.486607,0.486607,0.384517
1981-02-11,0.473214,0.473214,0.470982,0.470982,0.37217
